"","Active.Ingredient","Type","ai"
"1","2,4-D (H)","Herbicide","2,4-D"
"2","2,4-DB (H)","Herbicide","2,4-DB"
"3","ACETOCHLOR","Herbicide","ACETOCHLOR"
"4","ALACHLOR","Herbicide","ALACHLOR"
"5","AMETRYN","Herbicide","AMETRYN"
"6","ATRAZINE","Herbicide","ATRAZINE"
"7","BENTAZONE","Herbicide","BENTAZONE"
"8","BROMOXYNIL","Herbicide","BROMOXYNIL"
"9","BUTYLATE","Herbicide","BUTYLATE"
"10","CLOPYRALID","Herbicide","CLOPYRALID"
"11","CYANAZINE","Herbicide","CYANAZINE"
"12","DICAMBA","Herbicide","DICAMBA"
"13","DIMETHENAMID","Herbicide","DIMETHENAMID"
"14","DIMETHYLARSINIC ACID (H)","Herbicide","DIMETHYLARSINIC ACID"
"15","DIURON (H)","Herbicide","DIURON"
"16","EPTC","Herbicide","EPTC"
"17","FLUFENACET","Herbicide","FLUFENACET"
"18","FLUMETSULAM","Herbicide","FLUMETSULAM"
"19","FLUMICLORAC (H)","Herbicide","FLUMICLORAC"
"20","GLUFOSINATE (H)","Herbicide","GLUFOSINATE"
"21","GLYPHOSATE (H)","Herbicide","GLYPHOSATE"
"22","HALOSULFURON","Herbicide","HALOSULFURON"
"23","IMAZAPYR","Herbicide","IMAZAPYR"
"24","IMAZETHAPYR","Herbicide","IMAZETHAPYR"
"25","ISOXAFLUTOLE","Herbicide","ISOXAFLUTOLE"
"26","LINURON","Herbicide","LINURON"
"27","METOLACHLOR","Herbicide","METOLACHLOR"
"28","METOLACHLOR-S","Herbicide","METOLACHLOR-S"
"29","METRIBUZIN","Herbicide","METRIBUZIN"
"30","NICOSULFURON","Herbicide","NICOSULFURON"
"31","OXYFLUORFEN","Herbicide","OXYFLUORFEN"
"32","PARAQUAT (H)","Herbicide","PARAQUAT"
"33","PENDIMETHALIN","Herbicide","PENDIMETHALIN"
"34","PRIMISULFURON","Herbicide","PRIMISULFURON"
"35","PROPACHLOR","Herbicide","PROPACHLOR"
"36","PROSULFURON","Herbicide","PROSULFURON"
"37","PYRIDATE","Herbicide","PYRIDATE"
"38","RIMSULFURON","Herbicide","RIMSULFURON"
"39","SETHOXYDIM","Herbicide","SETHOXYDIM"
"40","SIMAZINE","Herbicide","SIMAZINE"
"41","SULFOSATE","Herbicide","SULFOSATE"
"42","THIFENSULFURON","Herbicide","THIFENSULFURON"
"43","TRIFLURALIN","Herbicide","TRIFLURALIN"
"44","ACEPHATE","Insecticide","ACEPHATE"
"45","BACILLUS THURINGIENSIS","Insecticide","BACILLUS THURINGIENSIS"
"46","BIFENTHRIN","Insecticide","BIFENTHRIN"
"47","CARBARYL (I)","Insecticide","CARBARYL"
"48","CARBOFURAN (I)","Insecticide","CARBOFURAN"
"49","CHLORETHOXYFOS","Insecticide","CHLORETHOXYFOS"
"50","CHLORPYRIFOS","Insecticide","CHLORPYRIFOS"
"51","CYFLUTHRIN","Insecticide","CYFLUTHRIN"
"52","CYHALOTHRIN-LAMBDA","Insecticide","CYHALOTHRIN-LAMBDA"
"53","CYPERMETHRIN","Insecticide","CYPERMETHRIN"
"54","DIAZINON","Insecticide","DIAZINON"
"55","DIMETHOATE","Insecticide","DIMETHOATE"
"56","DISULFOTON","Insecticide","DISULFOTON"
"57","ESFENVALERATE","Insecticide","ESFENVALERATE"
"58","ETHOPROPHOS (I)","Insecticide","ETHOPROPHOS"
"59","FENBUTATIN OXIDE","Insecticide","FENBUTATIN OXIDE"
"60","FIPRONIL","Insecticide","FIPRONIL"
"61","FONOFOS","Insecticide","FONOFOS"
"62","MALATHION","Insecticide","MALATHION"
"63","METHOMYL","Insecticide","METHOMYL"
"64","METHYL PARATHION","Insecticide","METHYL PARATHION"
"65","PERMETHRIN","Insecticide","PERMETHRIN"
"66","PHORATE","Insecticide","PHORATE"
"67","PROPARGITE","Insecticide","PROPARGITE"
"68","TEBUPIRIMPHOS","Insecticide","TEBUPIRIMPHOS"
"69","TEFLUTHRIN","Insecticide","TEFLUTHRIN"
"70","TERBUFOS (I)","Insecticide","TERBUFOS"
"71","ACIFLUORFEN","Herbicide","ACIFLUORFEN"
"72","CHLORIMURON","Herbicide","CHLORIMURON"
"73","CLETHODIM","Herbicide","CLETHODIM"
"74","CLOMAZONE","Herbicide","CLOMAZONE"
"75","CLORANSULAM-METHYL","Herbicide","CLORANSULAM-METHYL"
"76","ETHALFLURALIN","Herbicide","ETHALFLURALIN"
"77","FENOXAPROP","Herbicide","FENOXAPROP"
"78","FLUAZIFOP","Herbicide","FLUAZIFOP"
"79","FOMESAFEN","Herbicide","FOMESAFEN"
"80","IMAZAMOX","Herbicide","IMAZAMOX"
"81","IMAZAQUIN","Herbicide","IMAZAQUIN"
"82","LACTOFEN","Herbicide","LACTOFEN"
"83","NORFLURAZON","Herbicide","NORFLURAZON"
"84","QUIZALOFOP","Herbicide","QUIZALOFOP"
"85","SULFENTRAZONE","Herbicide","SULFENTRAZONE"
"86","TRI-ALLATE","Herbicide","TRI-ALLATE"
"87","TRIBENURON METHYL","Herbicide","TRIBENURON METHYL"
"88","VERNOLATE","Herbicide","VERNOLATE"
"89","CARFENTRAZONE-ETHYL (H)","Herbicide","CARFENTRAZONE-ETHYL"
"90","DIFLUFENZOPYR","Herbicide","DIFLUFENZOPYR"
"91","PELARGONIC ACID (H)","Herbicide","PELARGONIC ACID"
"92","PROMETRYN","Herbicide","PROMETRYN"
