Year,Crop,Crop.Area.Grown.Acres
1998,Corn,80798028
1998,Soybeans,72719454
1999,Corn,77610931
1999,Soybeans,74144976
2000,Corn,79579030
2000,Soybeans,74500996
2001,Corn,76009047
2001,Soybeans,75215988
2002,Corn,78847038
2002,Soybeans,73043055
2003,Corn,79065980
2003,Soybeans,73652916
2004,Corn,80968000
2004,Soybeans,74809004
2005,Corn,80990078
2005,Soybeans,72969983
2006,Corn,78765027
2006,Soybeans,74810075
2007,Corn,92230018
2007,Soybeans,63975002
2008,Corn,86705021
2008,Soybeans,74404951
2009,Corn,86409978
2009,Soybeans,77584979
2010,Corn,87229998
2010,Soybeans,78725010
2011,Corn,91620007
2011,Soybeans,74835004
2012,Corn,95665039
2012,Soybeans,75939996
2013,Corn,96564996
2013,Soybeans,77035042
2014,Corn,90880000
2014,Soybeans,84680000
2015,Corn,88175000
2015,Soybeans,84175000
2016,Corn,93365001
2016,Soybeans,83530001
2017,Corn,90130000
2017,Soybeans,89360006
2018,Corn,88255003
2018,Soybeans,89395002
2019,Corn,89223000
2019,Soybeans,76600000
2020,Corn,91210000
2020,Soybeans,83745000
2021,Corn,91885064
2021,Soybeans,87455000
