ai,ecotox.ineq,ecotox.LD50,farruggia.ineq,farruggia.LD50,manual.ineq,manual.LD50
PIPERONYL BUTOXIDE,>,11,NA,NA,NA,NA
DIMETHOATE,NA,0.188,NA,NA,NA,NA
CARBARYL,NA,1.02,NA,1.336,NA,NA
METHOXYCHLOR,NA,23.57,NA,NA,NA,NA
DIMETHYLARSINIC ACID,>,157.12,NA,NA,NA,NA
CHLOROPICRIN,>,100,NA,NA,NA,NA
ROTENONE,>,2.42,NA,NA,NA,NA
MCPA,>,24.17,>,194,NA,NA
"2,4-D",>,18.13,>,18.13,NA,NA
PELARGONIC ACID,>,25,NA,NA,NA,NA
ALDICARB,NA,0.285,NA,NA,NA,NA
MALATHION,NA,0.156,NA,0.709,NA,NA
SIMAZINE,>,96.69,NA,NA,NA,NA
CAPTAN,>,215,>,10,NA,NA
DICROTOPHOS,NA,0.3,NA,NA,NA,NA
METHYL PARATHION,NA,0.291,NA,NA,NA,NA
PHORATE,NA,10.07,NA,NA,NA,NA
DISULFOTON,NA,0.96,NA,NA,NA,NA
DIURON,>,145.03,NA,NA,NA,NA
DIURON,>,145.03,NA,NA,NA,NA
LINURON,>,120.86,NA,NA,NA,NA
DIAZINON,NA,0.372,NA,NA,NA,NA
EPTC,NA,72.5,NA,NA,NA,NA
AMETRYN,>,96.69,NA,NA,NA,NA
GLYPHOSATE,>,100,>,103,NA,NA
CALCIUM POLYSULFIDE,>,25,NA,NA,NA,NA
CARBOFURAN,NA,0.16,NA,NA,NA,NA
TRIFLURALIN,>,24.17,NA,NA,NA,NA
BROMOXYNIL,NA,159,NA,159,NA,NA
CHLOROTHALONIL,>,181.29,NA,NA,NA,NA
ATRAZINE,>,96.69,NA,NA,NA,NA
DICAMBA,>,90.65,NA,2.58,NA,NA
PROPACHLOR,NA,311,NA,311,NA,NA
BUTYLATE,>,26.01,NA,NA,NA,NA
MSMA,NA,68,NA,NA,NA,NA
TRI-ALLATE,>,25,NA,NA,NA,NA
PROPARGITE,NA,15,NA,15,NA,NA
CHLORPYRIFOS,NA,0.114,NA,NA,NA,NA
PARAQUAT,>,6.04,NA,NA,NA,NA
PROMETRYN,>,96.69,NA,NA,NA,NA
SULFUR,NA,1051,NA,NA,NA,NA
SULFUR,NA,1051,NA,NA,NA,NA
PYRETHRINS,>,0.63,NA,NA,NA,NA
AZADIRACHTIN,>,2.5,NA,NA,NA,NA
MANEB,>,12.09,NA,NA,NA,NA
TERBUFOS,NA,4.09,NA,NA,NA,NA
ETHOPROPHOS,NA,2.58,NA,NA,NA,NA
ETHOPROPHOS,NA,2.58,NA,NA,NA,NA
FENBUTATIN OXIDE,NA,3982,NA,NA,NA,NA
ALACHLOR,>,36.26,NA,NA,NA,NA
METHOMYL,NA,1.29,NA,1.29,NA,NA
BENOMYL,>,120.86,NA,NA,NA,NA
THIOPHANATE-METHYL,>,100,NA,NA,NA,NA
ACEPHATE,NA,1.2,NA,NA,NA,NA
ACETOCHLOR,>,200,>,200,NA,NA
ACETOCHLOR,>,200,>,200,NA,NA
DIFLUBENZURON,>,74.2,>,74.2,NA,NA
METALDEHYDE,>,113,>,113,NA,NA
PENDIMETHALIN,>,100,>,100,NA,NA
OXYFLUORFEN,>,100,>,100,NA,NA
OXYFLUORFEN,>,100,>,100,NA,NA
METOLACHLOR,>,110,>,110,NA,NA
CYPERMETHRIN,NA,0.13,NA,0.023,NA,NA
PERMETHRIN,NA,0.025,NA,0.025,NA,NA
DELTAMETHRIN,NA,0.0015,NA,0.0015,NA,NA
CHLORETHOXYFOS,NA,0.09,NA,NA,NA,NA
TRICLOPYR,>,100,>,100,NA,NA
THIODICARB,NA,2.11,NA,2.11,NA,NA
PROPICONAZOLE,>,25,>,25,NA,NA
CHLORSULFURON,>,25,NA,NA,NA,NA
ESFENVALERATE,NA,0.017,NA,NA,NA,NA
TRALOMETHRIN,NA,0.126,NA,NA,NA,NA
MEFENOXAM,>,25,NA,NA,NA,NA
ABAMECTIN,NA,0.0023,NA,0.0023,NA,NA
SETHOXYDIM,>,10,>,10,NA,NA
QUIZALOFOP,>,50,NA,NA,NA,NA
FLUTRIAFOL,NA,198,>,50,NA,NA
CYHALOTHRIN-GAMMA,NA,0.0061,NA,NA,NA,NA
LACTOFEN,>,124,NA,NA,NA,NA
HEXYTHIAZOX,>,200,>,200,NA,NA
TEFLUTHRIN,NA,0.17,NA,0.17,NA,NA
IMAZETHAPYR,>,98,>,98,NA,NA
CLOMAZONE,>,100,>,100,NA,NA
QUINCLORAC,>,181.29,NA,NA,NA,NA
METOLACHLOR-S,>,200,NA,NA,NA,NA
DIMETHENAMID,NA,94,NA,94,NA,NA
TRALKOXYDIM,>,100,NA,NA,NA,NA
MYCLOBUTANIL,>,500,>,500,NA,NA
CYHALOTHRIN-LAMBDA,NA,0.038,NA,NA,NA,NA
