INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,CASRN,DTXCID,INCHIKEY,IUPAC_NAME,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,OPERA_PKAA_OPERA_PRED,OPERA_PKAB_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
50293,CASRN,DTXSID4020375,DDT,50-29-3,DTXCID20375,YVGGHNCTFXOJCH-UHFFFAOYSA-N,"1,1'-(2,2,2-Trichloroethane-1,1-diyl)bis(4-chlorobenzene)",C14H9Cl5,354.48,351.9146888,13335.2,365.119,4.73151E-8,1.511,0.422,2.14289E-7,185.237,93.937,0.187,N/A,42.978,125.085,0.00000114025,11.324,0.00000235505,1.67494E-7,7.03633E-13,19465.9,19.653,371.487,0.00000834632,85.1064,9.56752,203163,6.9101,108.43,N/A,N/A,1.62801E-7,1.93991E-8
51036,CASRN,DTXSID1021166,Piperonyl butoxide,51-03-6,DTXCID501166,FIPWRIJSWJWJAI-UHFFFAOYSA-N,"5-{[2-(2-Butoxyethoxy)ethoxy]methyl}-6-propyl-2H-1,3-benzodioxole",C19H30O5,338.444,338.209324066,18.55,393.28,0.0000213796,1.07,0.43,0.0000371535,184.87,51.66,0.08,0.0074131,16.3,147.13,0.0000057544,21.8776,7.07946E-7,0.0000724436,1.67071E-11,126.718,4.73111,324.413,0.00000224443,4.19104,10.9118,10456.6,4.74542,34.3548,N/A,N/A,8.62437E-8,0.0000424338
52686,CASRN,DTXSID0021389,Trichlorfon,52-68-6,DTXCID701389,NFACJZMKEDPNKN-UHFFFAOYSA-N,"Dimethyl (2,2,2-trichloro-1-hydroxyethyl)phosphonate",C4H8Cl3O4P,257.43,255.9225788,2.35505,244.071,3.3266E-7,1.561,0.633,0.000564937,137.035,15.966,0.341,0.00183654,32.566,140.873,N/A,11.298,0.0143219,0.0454988,1.95435E-11,1.03139,4.13785,290.878,1.4714E-7,0.185821,9.23857,79.0365,0.511388,76.9546,N/A,N/A,0.00000785214,0.515308
52857,CASRN,DTXSID7041966,Famphur,52-85-7,DTXCID5021966,JISACBWYRJHSMG-UHFFFAOYSA-N,"O-[4-(Dimethylsulfamoyl)phenyl] O,O-dimethyl phosphorothioate",C10H16NO5PS2,325.33,325.020751965,18.1552,N/A,N/A,1.337,0.831,N/A,195.36,23.662,0.727,0.000187932,N/A,N/A,N/A,N/A,0.0000582103,0.000484172,1.62448E-11,1.69003,4.22802,362.971,3.69953E-7,0.349907,9.67722,158.693,2.23026,52.9693,N/A,N/A,0.00000961698,0.000309394
54115,CASRN,DTXSID1020930,(-)-Nicotine,54-11-5,DTXCID50930,SNICXCGAKADSCV-JTQLQIEISA-N,3-[(2S)-1-Methylpyrrolidin-2-yl]pyridine,C10H14N2,162.236,162.115698459,11.995,244.899,0.00015417,1.016,0.645,0.00106414,97.941,30.758,0.047,0.00530884,37.655,143.221,0.00151705,7.2778,0.02208,0.0799834,4.31527E-11,5.20978,3.36233,247.052,0.0000275966,5.7146,5.80568,102.389,1.17111,-78.6654,N/A,N/A,0.0375479,6.15336
55389,CASRN,DTXSID8020620,Fenthion,55-38-9,DTXCID00620,PNVJTZOFSHSLTO-UHFFFAOYSA-N,"O,O-Dimethyl O-[3-methyl-4-(methylsulfanyl)phenyl] phosphorothioate",C10H15O3PS2,278.32,278.020023689,130.317,N/A,2.31739E-8,1.212,0.588,0.00000552077,158.349,0.763,0.214,0.000296483,N/A,N/A,N/A,N/A,0.0000659174,0.0000211836,1.69866E-11,330.472,4.54476,361.355,0.00000109166,0.437374,9.42604,1511.89,4.08976,7.51313,N/A,N/A,0.0000105746,0.0000232264
56382,CASRN,DTXSID7021100,Parathion,56-38-2,DTXCID301100,LCCNCVORNKJIRZ-UHFFFAOYSA-N,"O,O-Diethyl O-(4-nitrophenyl) phosphorothioate",C10H14NO5PS,291.26,291.033030727,68.0769,N/A,1.2106E-8,1.342,0.64,0.00000493174,173.876,17.534,0.527,0.0000131826,N/A,N/A,N/A,N/A,0.0000155239,0.0000794328,1.58624E-11,97.8499,4.78024,374.964,2.98296E-7,0.390345,9.3349,1581.93,3.82965,6.28779,N/A,N/A,0.00000669393,0.0000437544
57749,CASRN,DTXSID7020267,Chlordane,57-74-9,DTXCID0028117,BIWJNBZANLAXMG-UHFFFAOYSA-N,"1,2,4,5,6,7,8,8-Octachloro-2,3,3a,4,7,7a-hexahydro-1H-4,7-methanoindene",C10H6Cl8,409.76,405.7977718,3810.66,326.756,5.30884E-7,1.855,0.367,1.19674E-7,195.484,110.615,0.077,0.00156315,N/A,N/A,N/A,N/A,0.000018239,2.04174E-7,7.0007E-13,22474,210.882,328.821,0.000291713,180.302,8.99413,60162.5,6.11976,105.974,N/A,N/A,0.0000117341,2.44808E-7
58899,CASRN,DTXSID2020686,Lindane,58-89-9,DTXCID40196532,JLYXXMFPNIAWKQ-GNIYUCBRSA-N,"(1R,2S,3r,4R,5S,6r)-1,2,3,4,5,6-Hexachlorocyclohexane",C6H6Cl6,290.81,287.8600664,157.761,272.3,0.0000437522,1.579,0.177,0.00000354813,132.318,69.556,0.233,0.00127938,41.103,90.551,N/A,10.3039,0.016293,0.0000484172,1.65885E-13,1100.89,18.6094,236.383,0.00000321199,31.0392,8.09186,1479.84,3.71918,76.7268,N/A,N/A,0.0000424436,0.0000153011
60515,CASRN,DTXSID7020479,Dimethoate,60-51-5,DTXCID50479,MCWXGJITAZMZEV-UHFFFAOYSA-N,"O,O-Dimethyl S-[2-(methylamino)-2-oxoethyl] phosphorodithioate",C5H12NO3PS2,229.25,228.999622596,3.70681,N/A,2.81838E-7,1.255,0.724,0.0000453942,136.293,32.048,0.366,0.000465586,N/A,N/A,N/A,N/A,0.0000248313,0.0171002,1.43227E-11,1.58793,82.443,308.682,2.05671E-8,0.0977548,9.91783,15.8484,0.780537,51.9376,N/A,N/A,0.0000187383,0.139206
