INPUT,FOUND_BY,DTXSID,PREFERRED_NAME,DTXCID,CASRN,INCHIKEY,IUPAC_NAME,MOLECULAR_FORMULA,AVERAGE_MASS,MONOISOTOPIC_MASS,BIOCONCENTRATION_FACTOR_TEST_PRED,BOILING_POINT_DEGC_TEST_PRED,48HR_DAPHNIA_LC50_MOL/L_TEST_PRED,DENSITY_G/CM^3_TEST_PRED,DEVTOX_TEST_PRED,96HR_FATHEAD_MINNOW_MOL/L_TEST_PRED,FLASH_POINT_DEGC_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,AMES_MUTAGENICITY_TEST_PRED,ORAL_RAT_LD50_MOL/KG_TEST_PRED,SURFACE_TENSION_DYN/CM_TEST_PRED,THERMAL_CONDUCTIVITY_MW/(M*K)_TEST_PRED,TETRAHYMENA_PYRIFORMIS_IGC50_MOL/L_TEST_PRED,VISCOSITY_CP_CP_TEST_PRED,VAPOR_PRESSURE_MMHG_TEST_PRED,WATER_SOLUBILITY_MOL/L_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,OPERA_PKAA_OPERA_PRED,OPERA_PKAB_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
131860338,CASRN,DTXSID0032520,Azoxystrobin,DTXCID8012520,131860-33-8,WFDXOXNFNRHQEC-GHRIWEEISA-N,Methyl (2E)-2-(2-{[6-(2-cyanophenoxy)pyrimidin-4-yl]oxy}phenyl)-3-methoxyprop-2-enoate,C22H17N3O5,403.394,403.116820659,N/A,474.033,9.2045E-07,1.341,0.961,4.21697E-07,269.559,121.192,0.199,0.00105196,N/A,N/A,5.12861E-05,N/A,9.4189E-11,1.53815E-06,1.68071E-11,12.6901,5.68791,359.044,3.38183E-09,2.3119,11.6865,5514.34,2.50285,115.99,N/A,N/A,8.33097E-13,1.56743E-05
,Searched by Synonym: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,Searched by Synonym: Found 0 results,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
68038700,CASRN,DTXSID80897374,Bacillus subtilis,N/A,68038-70-0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17804352,CASRN,DTXSID5023900,Benomyl,DTXCID103900,17804-35-2,RIOXQFHNBCKOKP-UHFFFAOYSA-N,Methyl [1-(butylcarbamoyl)-1H-benzimidazol-2-yl]carbamate,C14H18N4O3,290.323,290.137890456,4.7863,433.123,1.76604E-05,1.374,1.021,5.26017E-06,287.952,180.38,0.526,0.00582103,N/A,N/A,N/A,N/A,8.95365E-09,0.000446684,2.23276E-11,2.98032,4.6335,265.093,4.93573E-12,1.0565,9.16274,512.247,2.11888,192.959,N/A,N/A,3.6861E-09,1.0671E-05
1072957711,CASRN,DTXSID8057930,Benzovindiflupyr,DTXCID9031698,1072957-71-1,CCCGEKHKTPTUHJ-UHFFFAOYSA-N,"N-[9-(Dichloromethylidene)-1,2,3,4-tetrahydro-1,4-methanonaphthalen-5-yl]-3-(difluoromethyl)-1-methyl-1H-pyrazole-4-carboxamide",C18H15Cl2F2N3O,398.23,397.0560238,71.4496,426.611,6.35331E-06,1.491,0.872,1.24738E-08,268.709,134.15,0.192,0.00130317,N/A,N/A,N/A,N/A,1.88799E-10,4.15911E-06,1.13918E-10,281.602,7.43772,360.577,7.24933E-11,0.735039,10.5138,1436.77,3.65987,175.232,N/A,N/A,2.32579E-09,8.83757E-05
581809463,CASRN,DTXSID6058134,Bixafen,DTXCID2031902,581809-46-3,LDLMOOXUCMHBMZ-UHFFFAOYSA-N,"N-(3',4'-Dichloro-5-fluoro[1,1'-biphenyl]-2-yl)-3-(difluoromethyl)-1-methyl-1H-pyrazole-4-carboximidic acid",C18H12Cl2F3N3O,414.21,413.0309519,151.008,433.166,4.52898E-06,1.491,0.82,1.47571E-08,285.752,133.232,0.191,0.000594292,N/A,N/A,N/A,N/A,6.93426E-10,8.47227E-07,1.38064E-11,194.422,3.5423,344.901,2.92434E-10,0.483227,10.7478,549.023,4.39661,174.128,N/A,N/A,4.26507E-09,1.17155E-06
188425856,CASRN,DTXSID6034392,Boscalid,DTXCID4014392,188425-85-6,WYEMLYFITZORAB-UHFFFAOYSA-N,"2-Chloro-N-(4'-chloro[1,1'-biphenyl]-2-yl)pyridine-3-carboxamide",C18H12Cl2N2O,343.21,342.0326684,107.152,446.25,3.19154E-06,1.396,0.762,4.14954E-07,258.832,178.222,0.516,0.00933254,N/A,N/A,9.07821E-06,N/A,1.03514E-08,5.5335E-06,1.05639E-11,776.497,5.99313,396.779,2.67358E-09,1.41339,10.3441,1557.27,2.96055,177.632,N/A,N/A,1.17391E-09,1.05569E-05
1344816,CASRN,DTXSID7034414,Calcium polysulfide,N/A,1344-81-6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
133062,CASRN,DTXSID9020243,Captan,DTXCID701520779,133-06-2,LDVVMCZRFWMZSG-OLQVQODUSA-N,"(3aR,7aS)-2-[(Trichloromethyl)sulfanyl]-3a,4,7,7a-tetrahydro-1H-isoindole-1,3(2H)-dione",C9H8Cl3NO2S,300.58,298.9341328,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
