Type,ai,cas.number,AltChemName,AltCAS,
Fungicide,ASPERGILLUS FLAVUS,NA,,,
Fungicide,BACILLUS AMYLOLIQUEFACIEN,NA,,,
Fungicide,BACILLUS PUMILIS,NA,,,
Fungicide,BACILLUS SUBTILIS,68038700,,,
Fungicide,COPPER HYDROXIDE,12125212,,,
Fungicide,COPPER HYDROXIDE,20427592,,,
Fungicide,COPPER OXYCHLORIDE,1332656,,,
Fungicide,COPPER SULFATE,7758987,,,
Fungicide,FENTIN,668348,FENTIN HYDROXIDE,76879,
Fungicide,FLUAZINAM,79622596,,,
Fungicide,FLUSILAZOLE,85509199,,,
Fungicide,FLUXAPYROXAD,907204313,,,
Fungicide,HARPIN PROTEIN,NA,,,
Fungicide,HARPIN PROTEIN,NA,,,
Fungicide,MANCOZEB,8018017,,,
Fungicide,PETROLEUM OIL,64742547,,,
Fungicide,PETROLEUM OIL,8002059,,,
Fungicide,PHOSPHORIC ACID,7664382,,,
Fungicide,REYNOUTRIA SACHALINENSIS,NA,,,
Fungicide,ZINC,23713497,,,
Fungicide,ZINC,7440666,,,
Herbicide,"2,4-DB",94826,,,
Herbicide,ACIFLUORFEN,50594666,sodium acifluorfen,62476599,
Herbicide,BENTAZONE,25057890,bentazon,25057890,"(or sodium bentazon, 50723803)"
Herbicide,CHLORIMURON,99283008,chlorimuron ethyl,90982324,
Herbicide,CLETHODIM,99129212,,,
Herbicide,CYANAZINE,21725462,,,
Herbicide,DIFLUFENZOPYR,1957168023,diflufenzopyr sodium,109293983,
Herbicide,DIMETHENAMID-P,163515148,dimethenamid,87674688,
Herbicide,DIMETHYLARSINIC ACID,15132044,,,
Herbicide,FENOXAPROP,95617097,fenoxaprop-p-ethyl,71283802,
Herbicide,FLUAZIFOP,69335917,,,
Herbicide,FLUMICLORAC,87547044,,,
Herbicide,FLUROXYPYR,69377817,,,
Herbicide,FOMESAFEN,72178020,,,
Herbicide,FORAMSULFURON,173159574,,,
Herbicide,GLUFOSINATE,51276472,,,
Herbicide,HALAUXIFEN,943832608,,,
Herbicide,HALOSULFURON,135397307,,,
Herbicide,IMAZAPYR,81334341,,,
Herbicide,IODOSULFURON,185119760,,,
Herbicide,ISOXAFLUTOLE,141112290,,,
Herbicide,METOLACHLOR-S,NA,,,
Herbicide,METRIBUZIN,21087649,,,
Herbicide,METSULFURON,79510488,,,
Herbicide,NAPTALAM,132661,,,
Herbicide,NORFLURAZON,27314132,,,
Herbicide,PRIMISULFURON,113036876,,,
Herbicide,QUINCLORAC,84087014,,,
Herbicide,SULFOSATE,81591813,,,
Herbicide,TEMBOTRIONE,335104842,,,
Herbicide,TETRAOXOSULFATE,NA,,,
Herbicide,THIENCARBAZONE-METHYL,317815831,,,
Herbicide,THIFENSULFURON,79277671,,,
Herbicide,VERNOLATE,1929777,,,
Insecticide,ABAMECTIN,65195553,,,
Insecticide,ALPHA-CYPERMETHRIN,67375308,,,
Insecticide,BACILLUS THURINGIENSIS,68038711,,,
Insecticide,BIFENTHRIN,82657043,,,
