Type,Pest,Family,Genus
Herbicide,"BROADLEAVES, ALL","Dicot, all","Dicot, all"
Herbicide,BURNDOWN,Unknown,Unknown
Herbicide,BUTTONWEED,,Diodia
Herbicide,CLOVER,,Trifolium
Herbicide,COCKLEBUR,,Xanthium
Herbicide,CRABGRASS,,Digitaria
Herbicide,"CUCUMBER, WILD",,Cucumis
Herbicide,DANDELION,,Taraxacum
Herbicide,"DOCK, CURLY",,Rumex
Herbicide,EVENINGPRIMROSE,,Oenothera
Herbicide,FOXTAIL,,Setaria
Herbicide,"FOXTAIL, GIANT",,Setaria
Herbicide,"FOXTAIL, GREEN",,Setaria
Herbicide,LAMBSQUARTERS,,Chenopodium
Herbicide,MARESTAIL,,Conyza
Herbicide,MILKWEED,,Asclepias
Herbicide,MORNINGGLORY,,Ipomoea
Herbicide,"NIGHTSHADE, BLACK",,Solanum
Herbicide,"PIGWEED, REDROOT",,Amaranthus
Herbicide,RAGWEED,,Ambrosia
Herbicide,"RAGWEED, GIANT",,Ambrosia
Herbicide,SHEPHERD'S-PURSE,,Capsella
Herbicide,SICKLEPOD,,
Herbicide,"SIDA, PRICKLY",,
Herbicide,SMARTWEED,,
Herbicide,"SMARTWEED, PENNSYLVANIA",,
Herbicide,SPURGE,,
Herbicide,SUNFLOWER,,
Herbicide,THISTLE,,
Herbicide,"THISTLE, CANADA",,
Herbicide,VELVETLEAF,,
Herbicide,"WATERHEMP, COMMON",,
Herbicide,ALL WEEDS,,
Herbicide,BARNYARDGRASS,,
Herbicide,BEGGARTICKS,,
Herbicide,"BINDWEED, FIELD",,
Herbicide,"BLUEGRASS, ANNUAL",,
Herbicide,BUFFALOBUR,,
Herbicide,BURCUCUMBER,,
Herbicide,"COCKLE, CORN",,
Herbicide,COPPERLEAF,,
Herbicide,"CORN, VOLUNTEER",,
Herbicide,"CRAZYWEED, LAMBERT",,
Herbicide,CUPGRASS,,
Herbicide,"CUPGRASS, WOOLLY",,
Herbicide,"CUTGRASS, RICE",,
Herbicide,DEVIL'S-CLAW,,
Herbicide,"FOXTAIL, YELLOW",,
Herbicide,"GRASSES, ALL",,
Herbicide,HORSEWEED,,
Herbicide,JIMSONWEED,,
Herbicide,JOHNSONGRASS,,
Herbicide,KNAPWEED,,
Herbicide,KNOTWEED,,
Herbicide,KOCHIA,,
Herbicide,"MILLET, WILD-PROSO",,
Herbicide,"MULLEIN, TURKEY",,
Herbicide,"NIGHTSHADE,  AMERICAN BLACK",,
Herbicide,No Answer Weed,,
Herbicide,NUTSEDGE,,
Herbicide,"NUTSEDGE, YELLOW",,
Herbicide,PANICUM,,
Herbicide,"PANICUM, FALL",,
Herbicide,"PANICUM, TEXAS",,
Herbicide,PARAGRASS,,
Herbicide,PEPPERWEED,,
Herbicide,QUACKGRASS,,
Herbicide,SANDBUR,,
Herbicide,SHATTERCANE,,
Herbicide,SICKLEGRASS,,
Herbicide,"SIGNALGRASS, BROADLEAF",,
Herbicide,"SUNFLOWER, VOLUNTEER",,
Herbicide,"THISTLE, RUSSIAN",,
Herbicide,WATERGRASS,,
Herbicide,"WATERHEMP, TALL",,
Herbicide,BUFFALOGRASS,,
Herbicide,CHEAT,,
Herbicide,CROWFOOTGRASS,,
Herbicide,ECLIPTA,,
Herbicide,FIELDCRESS,,
Herbicide,FIREWEED,,
Herbicide,"MUHLY, WIRESTEM",,
Herbicide,"MUSTARD, WILD",,
Herbicide,"OAT, WILD",,
Herbicide,"SESBANIA, HEMP",,
Herbicide,"ALFALFA, VOLUNTEER",,
Herbicide,ALGAE,,
Herbicide,BULLNETTLE,,
Herbicide,CORNFLOWER,,
Herbicide,"CROTON, WOOLLY",,
Herbicide,CUTGRASS,,
Herbicide,DOGBANE,,
Herbicide,FESCUE,,
Herbicide,GOOSEGRASS,,
Herbicide,GORSE,,
Herbicide,GUINEAGRASS,,
Herbicide,GUMWEED,,
Herbicide,HENBIT,,
Herbicide,HONEYSUCKLE,,
Herbicide,INDIGO,,
Herbicide,"MARIGOLD, DWARF",,
Herbicide,MONEYWORT,,
Herbicide,"MORNINGGLORY, BIGROOT",,
Herbicide,NETTLE,,
Herbicide,"NIGHTSHADE, PURPLE",,
Herbicide,"ONION, WILD",,
Herbicide,ORCHARDGRASS,,
Herbicide,PARSLEY,,
Herbicide,"PASPALUM, SOUR",,
Herbicide,PURSLANE,,
Herbicide,"RADISH, WILD",,
Herbicide,"RAGWORT, TANSY",,
Herbicide,REDWEED,,
Herbicide,"RICE, RED",,
Herbicide,RYEGRASS,,
Herbicide,SAGE,,
Herbicide,STARTHISTLE,,
Herbicide,TRUMPETCREEPER,,
Herbicide,"VELVETGRASS, COMMON",,
Herbicide,VINE,,
Herbicide,"WHEAT, VOLUNTEER",,
Herbicide,WHEATGRASS,,
Herbicide,BEGGARWEED,,
Herbicide,"BURDOCK, COMMON",,
