Type,Crop,Pest,Family,Genus
Herbicide,Corn,"ACACIA, CATCLAW",,
Herbicide,Soybeans,"ACACIA, CATCLAW",,
Herbicide,Corn,"ADONIS, PHEASANTEYE",,
Herbicide,Soybeans,"ADONIS, PHEASANTEYE",,
Herbicide,Corn,AGERATUM,,
Herbicide,Soybeans,AGERATUM,,
Herbicide,Corn,ALEXANDERGRASS,,
Herbicide,Soybeans,ALEXANDERGRASS,,
Herbicide,Corn,"ALFALFA, VOLUNTEER",,
Herbicide,Soybeans,"ALFALFA, VOLUNTEER",,
Herbicide,Corn,ALGAE,,
Herbicide,Soybeans,ALKALI SACATON,,
Herbicide,Corn,ALKALIWEED,,
Herbicide,Soybeans,ALKALIWEED,,
Herbicide,Corn,ALL WEEDS,,
Herbicide,Soybeans,ALL WEEDS,,
Herbicide,Corn,ALLIGATORWEED,,
Herbicide,Soybeans,ALLIGATORWEED,,
Herbicide,Corn,AMARANTH,,
Herbicide,Soybeans,AMARANTH,,
Herbicide,Corn,"AMARANTH, PALMER",,
Herbicide,Soybeans,"AMARANTH, PALMER",,
Herbicide,Corn,"AMARANTH, POWELL'S",,
Herbicide,Soybeans,"AMARANTH, POWELL'S",,
Herbicide,Corn,"AMARANTH, SPINY",,
Herbicide,Soybeans,"AMARANTH, SPINY",,
Herbicide,Corn,"AMMANNIA, PURPLE",,
Herbicide,Soybeans,"AMMANNIA, PURPLE",,
Herbicide,Corn,"ANODA, SPURRED",,
Herbicide,Soybeans,"ANODA, SPURRED",,
Herbicide,Soybeans,AQUATICS,,
Herbicide,Corn,ARROWHEAD,,
Herbicide,Soybeans,ARROWHEAD,,
Herbicide,Soybeans,"ARROWHEAD, CALIFORNIA",,
Herbicide,Corn,"ARROWHEAD, GREGG",,
Herbicide,Corn,"ARTICHOKE, JERUSALEM",,
Herbicide,Soybeans,"ARTICHOKE, JERUSALEM",,
Herbicide,Corn,"ASPARAGUS, VOLUNTEER",,
Herbicide,Soybeans,"ASPARAGUS, VOLUNTEER",,
Herbicide,Corn,ASTER,,
Herbicide,Soybeans,ASTER,,
Herbicide,Corn,BAHIAGRASS,,
Herbicide,Soybeans,BAHIAGRASS,,
Herbicide,Corn,BALLOONVINE,,
Herbicide,Soybeans,BALLOONVINE,,
Herbicide,Corn,BALSAMAPPLE,,
Herbicide,Soybeans,BALSAMAPPLE,,
Herbicide,Corn,BARBERRY,,
Herbicide,Soybeans,BARBERRY,,
Herbicide,Corn,"BARLEY, FOXTAIL",,
Herbicide,Soybeans,"BARLEY, FOXTAIL",,
Herbicide,Corn,"BARLEY, LITTLE",,
Herbicide,Soybeans,"BARLEY, LITTLE",,
Herbicide,Corn,"BARLEY, VOLUNTEER",,
Herbicide,Soybeans,"BARLEY, VOLUNTEER",,
Herbicide,Corn,"BARLEY, WILD",,
Herbicide,Soybeans,"BARLEY, WILD",,
Herbicide,Corn,BARNYARDGRASS,,
Herbicide,Soybeans,BARNYARDGRASS,,
Herbicide,Soybeans,BASSIA,,
Herbicide,Corn,"BEAKRUSH, HORNED",,
Herbicide,Soybeans,"BEAKRUSH, HORNED",,
Herbicide,Corn,"BEAN, VOLUNTEER",,
Herbicide,Soybeans,"BEAN, VOLUNTEER",,
Herbicide,Corn,"BEAN, WILD PEA",,
Herbicide,Soybeans,"BEAN, WILD PEA",,
Herbicide,Corn,BEARDGRASS,,
Herbicide,Soybeans,BEARDGRASS,,
Herbicide,Corn,"BEDSTRAW, CATCHWEED",,
Herbicide,Soybeans,"BEDSTRAW, CATCHWEED",,
Herbicide,Corn,BEGGARTICKS,,
Herbicide,Soybeans,BEGGARTICKS,,
Herbicide,Corn,BEGGARWEED,,
Herbicide,Soybeans,BEGGARWEED,,
Herbicide,Corn,"BEGGARWEED, FLORIDA",,
Herbicide,Soybeans,"BEGGARWEED, FLORIDA",,
Herbicide,Corn,BELLFLOWER,,
Herbicide,Soybeans,BELLFLOWER,,
Herbicide,Corn,BENTGRASS,,
Herbicide,Soybeans,BENTGRASS,,
Herbicide,Corn,BERMUDAGRASS,,
Herbicide,Soybeans,BERMUDAGRASS,,
Herbicide,Corn,BERRIES,,
Herbicide,Soybeans,BERRIES,,
Herbicide,Corn,"BETONY, FLORIDA",,
Herbicide,Soybeans,"BETONY, FLORIDA",,
Herbicide,Corn,"BINDWEED, FIELD",,
Herbicide,Soybeans,"BINDWEED, FIELD",,
