ai,ineq,AAC.LD50,source
"2,4-D",>,18.13,Ecotox Export
"2,4-DB",NA,12.3,PRA
ABAMECTIN,NA,0.0023,Ecotox Export
ACEPHATE,NA,1.2,Ecotox Export
ACETAMIPRID,NA,8.1,Farruggia et al. 2022
ACETOCHLOR,>,200,Ecotox Export
ACIFLUORFEN,NA,100,PRA
AFIDOPYROPEN,NA,20.3,Ecotox Export
ALACHLOR,>,36.26,Ecotox Export
ALDICARB,NA,0.285,Ecotox Export
ALPHA-CYPERMETHRIN,NA,0.023,ERA
AMETRYN,>,96.69,Ecotox Export
AMINOPYRALID,>,100,Ecotox Export
ATRAZINE,>,96.69,Ecotox Export
AZADIRACHTIN,>,2.5,Ecotox Export
AZOXYSTROBIN,>,200,Ecotox Export
BENOMYL,>,120.86,Ecotox Export
BENTAZONE,>,100,ERA
BENZOVINDIFLUPYR,>,100,Ecotox Export
BICYCLOPYRONE,>,197,Ecotox Export
BIFENAZATE,NA,7.8,Ecotox Export
BIFENTHRIN,NA,0.015,PRA
BIXAFEN,>,100,Ecotox Export
BOSCALID,>,200,Ecotox Export
BROMOXYNIL,NA,159,Ecotox Export
BUTYLATE,>,26.01,Ecotox Export
CALCIUM POLYSULFIDE,>,25,Ecotox Export
CAPTAN,>,10,Farruggia et al. 2022
CARBARYL,NA,1.02,Ecotox Export
CARBOFURAN,NA,0.16,Ecotox Export
CARFENTRAZONE-ETHYL,>,27.9,Ecotox Export
CHLORANTRANILIPROLE,>,4,ERA
CHLORETHOXYFOS,NA,0.09,Ecotox Export
CHLORIMURON,NA,12.5,ERA
CHLOROPICRIN,>,100,Ecotox Export
CHLOROTHALONIL,>,181.29,Ecotox Export
CHLORPYRIFOS,NA,0.114,Ecotox Export
CHLORSULFURON,>,25,Ecotox Export
CLETHODIM,NA,100,ERA
CLOMAZONE,>,100,Ecotox Export
CLOPYRALID,NA,100,PRA
CLORANSULAM-METHYL,>,25,Ecotox Export
CLOTHIANIDIN,NA,0.0275,Ecotox Export
COPPER OXYCHLORIDE,NA,100,ERA
CYANAZINE,>,193.38,EPA communication
CYFLUTHRIN,NA,0.037,ERA
CYHALOTHRIN-GAMMA,NA,0.0061,Ecotox Export
CYHALOTHRIN-LAMBDA,NA,0.038,Ecotox Export
CYPERMETHRIN,NA,0.023,Farruggia et al. 2022
CYPROCONAZOLE,>,100,Ecotox Export
DELTAMETHRIN,NA,0.0015,Ecotox Export
DIAZINON,NA,0.372,Ecotox Export
DICAMBA,>,90.65,Ecotox Export
DICHLOROPROPENE,NA,60.43,ERA
DICROTOPHOS,NA,0.3,Ecotox Export
DIFENOCONAZOLE,>,100,Ecotox Export
DIFLUBENZURON,>,74.2,Ecotox Export
DIFLUFENZOPYR,>,25,Ecotox Export
DIMETHENAMID,NA,94,Ecotox Export
DIMETHENAMID-P,NA,94,Related ai (dimethenamid)
DIMETHOATE,NA,0.188,Ecotox Export
DIMETHYLARSINIC ACID,>,157.12,Ecotox Export
DISULFOTON,NA,0.96,Ecotox Export
DIURON,>,145.03,Ecotox Export
EPTC,NA,72.5,Ecotox Export
ESFENVALERATE,NA,0.017,Ecotox Export
ETHOPROPHOS,NA,2.58,Ecotox Export
ETOXAZOLE,>,200,Ecotox Export
FENBUTATIN OXIDE,NA,3982,Ecotox Export
FENHEXAMID,NA,0.215,Ecotox Export
FENOXAPROP,NA,192.4,PRA
FENPYROXIMATE,>,15.8,Ecotox Export
FIPRONIL,NA,0.00277,Farruggia et al. 2022
FIPRONIL,NA,0.00277,Farruggia
FLUAZIFOP,NA,53.79,PRA
FLUAZINAM,NA,200,ERA
FLUBENDIAMIDE,>,200,Ecotox Export
FLUFENACET,>,25,Ecotox Export
FLUMETSULAM,>,100,Ecotox Export
FLUMICLORAC,NA,106,ERA
FLUMIOXAZIN,>,105,Ecotox Export
FLUOPYRAM,>,100,Ecotox Export
FLUOXASTROBIN,>,200,Ecotox Export
FLUPYRADIFURONE,NA,11.5,Ecotox Export
FLUROXYPYR,NA,25,ERA
FLUTHIACET-METHYL,>,100,Ecotox Export
FLUTRIAFOL,>,50,Farruggia et al. 2022
FLUXAPYROXAD,NA,100,ERA
FOMESAFEN,>,100,ERA
FONOFOS,NA,3.3,ERA
FORAMSULFURON,NA,1.9,PRA
GLUFOSINATE,NA,100,PRA
GLYPHOSATE,>,100,Ecotox Export
HALAUXIFEN,NA,98.1,New Chem Assessment
HALOSULFURON,NA,98.2,ERA
HEXYTHIAZOX,>,200,Ecotox Export
IMAZAMOX,>,58,Ecotox Export
IMAZAPYR,NA,100,ERA
IMAZAQUIN,NA,100,PF
IMAZETHAPYR,>,98,Ecotox Export
IMIDACLOPRID,NA,0.078,Ecotox Export
INDOXACARB,NA,0.0682,Ecotox Export
IODOSULFURON,NA,150,ERA
ISOXAFLUTOLE,NA,100,ERA
LACTOFEN,>,124,Ecotox Export
LINURON,>,120.86,Ecotox Export
MALATHION,NA,0.156,Ecotox Export
MANCOZEB,NA,85.3,ERA
MANEB,>,12.09,Ecotox Export
MCPA,>,24.17,Ecotox Export
MEFENOXAM,>,25,Ecotox Export
MEFENTRIFLUCONAZOLE,NA,30,Ecotox Export
MESOTRIONE,>,100,Ecotox Export
METALDEHYDE,>,113,Ecotox Export
METCONAZOLE,>,95.3,Ecotox Export
METHOMYL,NA,1.29,Ecotox Export
METHOXYCHLOR,NA,23.57,Ecotox Export
METHOXYFENOZIDE,>,100,Ecotox Export
METHYL PARATHION,NA,0.291,Ecotox Export
METOLACHLOR,>,110,Ecotox Export
METOLACHLOR-S,>,200,Ecotox Export
METRIBUZIN,NA,60.4,ERA
METSULFURON,NA,25,PRA
MSMA,NA,68,Ecotox Export
MYCLOBUTANIL,>,500,Ecotox Export
NAPTALAM,NA,113.2,ERA
NICOSULFURON,>,20,Ecotox Export
NORFLURAZON,NA,235,PRA
NOVALURON,>,100,Ecotox Export
OXYFLUORFEN,>,100,Ecotox Export
PARAQUAT,>,6.04,Ecotox Export
PELARGONIC ACID,>,25,Ecotox Export
PENDIMETHALIN,>,100,Ecotox Export
PENTHIOPYRAD,NA,23.49,Ecotox Export
PERMETHRIN,NA,0.025,Ecotox Export
PHORATE,NA,10.07,Ecotox Export
PICOXYSTROBIN,>,200,Ecotox Export
PIPERONYL BUTOXIDE,>,11,Ecotox Export
PRIMISULFURON,NA,100,ERA
PROMETRYN,>,96.69,Ecotox Export
PROPACHLOR,NA,311,Ecotox Export
PROPARGITE,NA,15,Ecotox Export
PROPICONAZOLE,>,25,Ecotox Export
PROSULFURON,>,100,Ecotox Export
PROTHIOCONAZOLE,>,200,Ecotox Export
PYDIFLUMETOFEN,>,100,Ecotox Export
PYRACLOSTROBIN,>,100,Ecotox Export
PYRAFLUFEN ETHYL,>,100,Ecotox Export
PYRETHRINS,>,0.63,Ecotox Export
PYRIDATE,NA,100,New Chem Assessment
PYROXASULFONE,>,100,Ecotox Export
QUINCLORAC,>,181.29,Ecotox Export
QUIZALOFOP,>,50,Ecotox Export
RIMSULFURON,NA,100,PRA
ROTENONE,>,2.42,Ecotox Export
SAFLUFENACIL,>,100,Ecotox Export
SETHOXYDIM,>,10,Ecotox Export
SIMAZINE,>,96.69,Ecotox Export
SPINETORAM,NA,0.024,Ecotox Export
SPINOSYN,NA,0.0029,Ecotox Export
SPIROMESIFEN,>,200,Ecotox Export
SULFENTRAZONE,>,25.1,Ecotox Export
SULFOSATE,NA,103,Related ai (glyphosate)
SULFOXAFLOR,NA,0.13,Ecotox Export
SULFUR,NA,1051,Ecotox Export
TEBUCONAZOLE,NA,100,PRA
TEFLUTHRIN,NA,0.17,Ecotox Export
TEMBOTRIONE,NA,100,PRA
TERBUFOS,NA,4.09,Ecotox Export
TETRACONAZOLE,NA,61,PRA
THIAMETHOXAM,NA,0.0198,Ecotox Export
THIENCARBAZONE-METHYL,NA,199,PRA
THIFENSULFURON,NA,12.5,ERA
THIODICARB,NA,2.11,Ecotox Export
THIOPHANATE-METHYL,>,100,Ecotox Export
TOLPYRALATE,NA,108,New Chem Assessment
TOPRAMEZONE,>,100,Ecotox Export
TRALKOXYDIM,>,100,Ecotox Export
TRALOMETHRIN,NA,0.126,Ecotox Export
TRI-ALLATE,>,25,Ecotox Export
TRIBENURON METHYL,>,100,Ecotox Export
TRICLOPYR,>,100,Ecotox Export
TRIFLOXYSTROBIN,>,200,Ecotox Export
TRIFLURALIN,>,24.17,Ecotox Export
ZETA-CYPERMETHRIN,NA,0.023,PRA
