ai,ineq,AAC.LD50,source
"2,4-D",>,18.13,Ecotox Export
"2,4-DB",NA,12.3,PRA
6-BENZYLADENINE,NA,25,Ecotox Export (new)
ABAMECTIN,NA,0.0023,Ecotox Export
ACEPHATE,NA,1.2,Ecotox Export
ACETAMIPRID,NA,8.1,Farruggia et al. 2022
ACETOCHLOR,>,200,Ecotox Export
ACIFLUORFEN,NA,100,PRA
AFIDOPYROPEN,NA,20.3,Ecotox Export
ALACHLOR,>,36.26,Ecotox Export
ALDICARB,NA,0.285,Ecotox Export
ALPHA-CYPERMETHRIN,NA,0.023,ERA
AMETRYN,>,96.69,Ecotox Export
AMINOPYRALID,>,100,Ecotox Export
AMITRAZ,NA,3.273,Ecotox Export (new)
ATRAZINE,>,96.69,Ecotox Export
AZADIRACHTIN,>,2.5,Ecotox Export
AZINPHOS-METHYL,NA,0.055,Ecotox Export (new)
AZOXYSTROBIN,>,200,Ecotox Export
BENFLURALIN,NA,101,Ecotox Export (new)
BENOMYL,>,120.86,Ecotox Export
BENTAZONE,>,100,ERA
BENZOVINDIFLUPYR,>,100,Ecotox Export
BICYCLOPYRONE,>,197,Ecotox Export
BIFENAZATE,NA,7.8,Ecotox Export
BIFENTHRIN,NA,0.015,PRA
BIXAFEN,>,100,Ecotox Export
BOSCALID,>,200,Ecotox Export
BROMOXYNIL,NA,159,Ecotox Export
BUPROFEZIN,NA,14.51,Ecotox Export (new)
BUTYLATE,>,26.01,Ecotox Export
CALCIUM POLYSULFIDE,>,25,Ecotox Export
CAPTAN,>,10,Farruggia et al. 2022
CARBARYL,NA,1.02,Ecotox Export
CARBOFURAN,NA,0.16,Ecotox Export
CARFENTRAZONE-ETHYL,>,27.9,Ecotox Export
CHLORANTRANILIPROLE,>,4,ERA
CHLORETHOXYFOS,NA,0.09,Ecotox Export
CHLORFENAPYR,NA,0.11,Ecotox Export (new)
CHLORIMURON,NA,12.5,ERA
CHLOROPICRIN,>,100,Ecotox Export
CHLOROTHALONIL,>,181.29,Ecotox Export
CHLORPYRIFOS,NA,0.114,Ecotox Export
CHLORSULFURON,>,25,Ecotox Export
CLETHODIM,NA,100,ERA
CLOMAZONE,>,100,Ecotox Export
CLOPYRALID,NA,100,PRA
CLORANSULAM-METHYL,>,25,Ecotox Export
CLOTHIANIDIN,NA,0.0275,Ecotox Export
COPPER OXYCHLORIDE,NA,100,ERA
CYANAZINE,>,193.38,EPA communication
CYANTRANILIPROLE,NA,0.0374,Ecotox Export (new)
CYCLANILIDE,NA,89.5,Ecotox Export (new)
CYFLUTHRIN,NA,0.037,ERA
CYHALOTHRIN-GAMMA,NA,0.0061,Ecotox Export
CYHALOTHRIN-LAMBDA,NA,0.038,Ecotox Export
CYPERMETHRIN,NA,0.023,Farruggia et al. 2022
CYPROCONAZOLE,>,100,Ecotox Export
DELTAMETHRIN,NA,0.0015,Ecotox Export
DIAZINON,NA,0.372,Ecotox Export
DICAMBA,>,90.65,Ecotox Export
DICHLOROPROPENE,NA,60.43,ERA
DICROTOPHOS,NA,0.3,Ecotox Export
DIFENOCONAZOLE,>,100,Ecotox Export
DIFLUBENZURON,>,74.2,Ecotox Export
DIFLUFENZOPYR,>,25,Ecotox Export
DIMETHENAMID,NA,94,Ecotox Export
DIMETHENAMID-P,NA,94,Related ai (dimethenamid)
DIMETHIPIN,NA,100,Ecotox Export (new)
DIMETHOATE,NA,0.188,Ecotox Export
DIMETHYLARSINIC ACID,>,157.12,Ecotox Export
DINOTEFURAN,NA,6e-4,Ecotox Export (new)
DISULFOTON,NA,0.96,Ecotox Export
DIURON,>,145.03,Ecotox Export
DSMA,NA,20.7,Ecotox Export (new)
ENDOSULFAN,NA,0.0461,Ecotox Export (new)
EPTC,NA,72.5,Ecotox Export
ESFENVALERATE,NA,0.017,Ecotox Export
ETHAMETSULFURON,NA,12.5,Ecotox Export (new)
ETHEPHON,NA,12.09,Ecotox Export (new)
ETHOPROPHOS,NA,2.58,Ecotox Export
ETOXAZOLE,>,200,Ecotox Export
FENAMIPHOS,NA,1.87,Ecotox Export (new)
FENBUTATIN OXIDE,NA,3982,Ecotox Export
FENHEXAMID,NA,0.215,Ecotox Export
FENOXAPROP,NA,192.4,PRA
FENPROPATHRIN,NA,0.11,Ecotox Export (new)
FENPYROXIMATE,>,15.8,Ecotox Export
FIPRONIL,NA,0.00277,Farruggia et al. 2022
FIPRONIL,NA,0.00277,Farruggia
FLONICAMID,NA,13.6,Ecotox Export (new)
FLORASULAM,NA,3.85,Ecotox Export (new)
FLUAZIFOP,NA,53.79,PRA
FLUAZINAM,NA,200,ERA
FLUBENDIAMIDE,>,200,Ecotox Export
FLUDIOXONIL,NA,25,Ecotox Export (new)
FLUFENACET,>,25,Ecotox Export
FLUMETSULAM,>,100,Ecotox Export
FLUMICLORAC,NA,106,ERA
FLUMIOXAZIN,>,105,Ecotox Export
FLUOPYRAM,>,100,Ecotox Export
FLUOXASTROBIN,>,200,Ecotox Export
FLUPYRADIFURONE,NA,11.5,Ecotox Export
FLURIDONE,NA,100,Ecotox Export (new)
FLUROXYPYR,NA,25,ERA
FLUTHIACET-METHYL,>,100,Ecotox Export
FLUTRIAFOL,>,50,Farruggia et al. 2022
FLUXAPYROXAD,NA,100,ERA
FOMESAFEN,>,100,ERA
FONOFOS,NA,3.3,ERA
FORAMSULFURON,NA,1.9,PRA
FORMETANATE,NA,14.27,Ecotox Export (new)
GLUFOSINATE,NA,100,PRA
GLYPHOSATE,>,100,Ecotox Export
HALAUXIFEN,NA,98.1,New Chem Assessment
HALOSULFURON,NA,98.2,ERA
HEXAZINONE,NA,100,Ecotox Export (new)
HEXYTHIAZOX,>,200,Ecotox Export
IMAZAMOX,>,58,Ecotox Export
IMAZAPIC,NA,28.5,Ecotox Export (new)
IMAZAPYR,NA,100,ERA
IMAZAQUIN,NA,100,PF
IMAZETHAPYR,>,98,Ecotox Export
IMIDACLOPRID,NA,0.078,Ecotox Export
INDOXACARB,NA,0.0682,Ecotox Export
IODOSULFURON,NA,150,ERA
IPRODIONE,NA,150,Ecotox Export (new)
ISOXAFLUTOLE,NA,100,ERA
LACTOFEN,>,124,Ecotox Export
LINURON,>,120.86,Ecotox Export
MALATHION,NA,0.156,Ecotox Export
MANCOZEB,NA,85.3,ERA
MANEB,>,12.09,Ecotox Export
MCPA,>,24.17,Ecotox Export
MEFENOXAM,>,25,Ecotox Export
MEFENTRIFLUCONAZOLE,NA,30,Ecotox Export
MESOTRIONE,>,100,Ecotox Export
METALAXYL,NA,100,Ecotox Export (new)
METALDEHYDE,>,113,Ecotox Export
METCONAZOLE,>,95.3,Ecotox Export
METHAMIDOPHOS,NA,0.001,Ecotox Export (new)
METHIDATHION,NA,0.054,Ecotox Export (new)
METHOMYL,NA,1.29,Ecotox Export
METHOXYCHLOR,NA,23.57,Ecotox Export
METHOXYFENOZIDE,>,100,Ecotox Export
METHYL PARATHION,NA,0.291,Ecotox Export
METOLACHLOR,>,110,Ecotox Export
METOLACHLOR-S,>,200,Ecotox Export
METRIBUZIN,NA,60.4,ERA
METSULFURON,NA,25,PRA
MSMA,NA,68,Ecotox Export
MYCLOBUTANIL,>,500,Ecotox Export
NALED,NA,0.002,Ecotox Export (new)
NAPTALAM,NA,113.2,ERA
NEEM OIL,NA,0.0302,Ecotox Export (new)
NICOSULFURON,>,20,Ecotox Export
NORFLURAZON,NA,235,PRA
NOVALURON,>,100,Ecotox Export
OXAMYL,NA,4.34e-7,Ecotox Export (new)
OXYDEMETON-METHYL,NA,0.06,Ecotox Export (new)
OXYFLUORFEN,>,100,Ecotox Export
PARAQUAT,>,6.04,Ecotox Export
PARATHION,NA,1.8e-5,Ecotox Export (new)
PELARGONIC ACID,>,25,Ecotox Export
PENDIMETHALIN,>,100,Ecotox Export
PENTHIOPYRAD,NA,23.49,Ecotox Export
PERMETHRIN,NA,0.025,Ecotox Export
PHORATE,NA,10.07,Ecotox Export
PHOSMET,NA,1.064,Ecotox Export (new)
PICLORAM,NA,14.5,Ecotox Export (new)
PICOXYSTROBIN,>,200,Ecotox Export
PIPERONYL BUTOXIDE,>,11,Ecotox Export
PIRIMICARB,NA,2.791,Ecotox Export (new)
PRIMISULFURON,NA,100,ERA
PROFENOFOS,NA,0.001,Ecotox Export (new)
PROMETRYN,>,96.69,Ecotox Export
PROPACHLOR,NA,311,Ecotox Export
PROPANIL,NA,6.13,Ecotox Export (new)
PROPARGITE,NA,15,Ecotox Export
PROPICONAZOLE,>,25,Ecotox Export
PROSULFURON,>,100,Ecotox Export
PROTHIOCONAZOLE,>,200,Ecotox Export
PYDIFLUMETOFEN,>,100,Ecotox Export
PYRACLOSTROBIN,>,100,Ecotox Export
PYRAFLUFEN ETHYL,>,100,Ecotox Export
PYRASULFOTOLE,NA,75,Ecotox Export (new)
PYRETHRINS,>,0.63,Ecotox Export
PYRIDATE,NA,100,New Chem Assessment
PYRIFLUQUINAZON,NA,4.7,Ecotox Export (new)
PYRIPROXYFEN,NA,2,Ecotox Export (new)
PYRITHIOBAC-SODIUM,NA,25,Ecotox Export (new)
PYROXASULFONE,>,100,Ecotox Export
QUINCLORAC,>,181.29,Ecotox Export
QUINTOZENE,NA,100,Ecotox Export (new)
QUIZALOFOP,>,50,Ecotox Export
RIMSULFURON,NA,100,PRA
ROTENONE,>,2.42,Ecotox Export
SAFLUFENACIL,>,100,Ecotox Export
SETHOXYDIM,>,10,Ecotox Export
SIMAZINE,>,96.69,Ecotox Export
