"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","16,500,000,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,500,000,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","15,000,000,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","366,200,000,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","170,720,000,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","195,480,000,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","24,400,000,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","3,500,000,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FERTILIZER TOTALS","FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","20,900,000,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","15,500,000,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","1,600,000,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHEMICAL TOTALS","CHEMICAL TOTALS - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","13,900,000,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TOTAL","NOT SPECIFIED","357,800,000,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (ANIMAL)","176,160,000,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","EXPENSE TOTALS","EXPENSE TOTALS, PRODUCTION - EXPENSE, MEASURED IN $","TYPE OF OPERATION","TYPE OF OPERATION: (CROP)","181,640,000,000",""
