AgroTrakName,Type,ai,CompTox.PREFERRED_NAME,cas.number,inEcoTox,inManualAdd,ModeOfAction
"2,4-DB (H)",Herbicide,"2,4-DB","2,4-Dichlorophenoxybutyric acid",94826,FALSE,TRUE,4
NAPTALAM,Herbicide,NAPTALAM,Naptalam,132661,FALSE,TRUE,
DICHLOROPROPENE (I),Insecticide,DICHLOROPROPENE,"1,3-Dichloropropene",542756,FALSE,TRUE,
FENTIN,Fungicide,FENTIN,Fentin,668348,FALSE,FALSE,
FONOFOS,Insecticide,FONOFOS,Fonofos,944229,FALSE,FALSE,
COPPER OXYCHLORIDE,Fungicide,COPPER OXYCHLORIDE,Dicopper chloride trihydroxide,1332656,FALSE,FALSE,
VERNOLATE,Herbicide,VERNOLATE,Vernolate,1929777,FALSE,FALSE,
ZINC,Fungicide,ZINC,Zinc,7440666,FALSE,FALSE,
PHOSPHORIC ACID,Fungicide,PHOSPHORIC ACID,Phosphoric acid,7664382,FALSE,FALSE,
COPPER SULFATE (F),Fungicide,COPPER SULFATE,Copper sulfate,7758987,FALSE,FALSE,
PETROLEUM OIL (F),Fungicide,PETROLEUM OIL,Petroleum,8002059,FALSE,FALSE,
MANCOZEB,Fungicide,MANCOZEB,Mancozeb,8018017,FALSE,TRUE,
COPPER HYDROXIDE,Fungicide,COPPER HYDROXIDE,Copper hydroxide,12125212,FALSE,FALSE,
COPPER OXYCHLORIDE,Fungicide,COPPER OXYCHLORIDE,Copper hydroxide (Cu(OH)2),20427592,FALSE,TRUE,
METRIBUZIN,Herbicide,METRIBUZIN,Metribuzin,21087649,FALSE,TRUE,
CYANAZINE,Herbicide,CYANAZINE,Cyanazine,21725462,FALSE,FALSE,
ZINC,Fungicide,ZINC,Zinc (II) cation,23713497,FALSE,FALSE,
BENTAZONE,Herbicide,BENTAZONE,Bentazone,25057890,FALSE,TRUE,
DICHLOROPROPENE (I),Insecticide,DICHLOROPROPENE,Dichloro-1-propene,26952238,FALSE,FALSE,
NORFLURAZON,Herbicide,NORFLURAZON,Norflurazon,27314132,FALSE,TRUE,
ACIFLUORFEN,Herbicide,ACIFLUORFEN,Acifluorfen,50594666,FALSE,FALSE,
GLUFOSINATE (H),Herbicide,GLUFOSINATE,Glufosinate,51276472,FALSE,TRUE,
PETROLEUM OIL (F),Fungicide,PETROLEUM OIL,"Distillates, petroleum, hydrotreated heavy paraffinic",64742547,FALSE,,
ALPHA-CYPERMETHRIN,Insecticide,ALPHA-CYPERMETHRIN,alpha-Cypermethrin,67375308,FALSE,TRUE,
BACILLUS SUBTILIS,Fungicide,BACILLUS SUBTILIS,Bacillus subtilis,68038700,FALSE,FALSE,
BACILLUS THURINGIENSIS,Insecticide,BACILLUS THURINGIENSIS,Bacillus thuringiensis,68038711,FALSE,FALSE,
CYFLUTHRIN,Insecticide,CYFLUTHRIN,Cyfluthrin,68359375,FALSE,TRUE,
FLUAZIFOP,Herbicide,FLUAZIFOP,Fluazifop,69335917,FALSE,FALSE,
FLUROXYPYR,Herbicide,FLUROXYPYR,Fluroxypyr,69377817,FALSE,TRUE,
FOMESAFEN,Herbicide,FOMESAFEN,Fomesafen,72178020,FALSE,FALSE,
THIFENSULFURON,Herbicide,THIFENSULFURON,Thifensulfuron,79277671,FALSE,TRUE,
METSULFURON,Herbicide,METSULFURON,Metsulfuron,79510488,FALSE,FALSE,
FLUAZINAM,Fungicide,FLUAZINAM,Fluazinam,79622596,FALSE,TRUE,
IMAZAPYR,Herbicide,IMAZAPYR,Imazapyr,81334341,FALSE,TRUE,
SULFOSATE,Herbicide,SULFOSATE,Glyphosate-trimesium,81591813,FALSE,FALSE,
BIFENTHRIN,Insecticide,BIFENTHRIN,Bifenthrin,82657043,FALSE,FALSE,
FLUSILAZOLE,Fungicide,FLUSILAZOLE,Flusilazole,85509199,FALSE,FALSE,
FLUMICLORAC (H),Herbicide,FLUMICLORAC,"[2-Chloro-5-(1,3-dioxo-1,3,4,5,6,7-hexahydroisoindol-2-yl)-4-fluorophenoxy]acetic acid",87547044,FALSE,TRUE,
FENOXAPROP,Herbicide,FENOXAPROP,Fenoxaprop,95617097,FALSE,FALSE,
TEBUPIRIMPHOS,Insecticide,TEBUPIRIMPHOS,Tebupirimfos,96182535,FALSE,FALSE,
CLETHODIM,Herbicide,CLETHODIM,Clethodim,99129212,FALSE,TRUE,
CHLORIMURON,Herbicide,CHLORIMURON,Chlorimuron,99283008,FALSE,TRUE,
PRIMISULFURON,Herbicide,PRIMISULFURON,"2-[4,6-Bis(difluoromethoxy)pyrimidin-2-ylcarbamoylsulfamoyl]benzoic acid",113036876,FALSE,TRUE,
HALOSULFURON,Herbicide,HALOSULFURON,Halosulfuron,135397307,FALSE,TRUE,
ISOXAFLUTOLE,Herbicide,ISOXAFLUTOLE,Isoxaflutole,141112290,FALSE,TRUE,
HARPIN PROTEIN (I),Insecticide,HARPIN PROTEIN,Harpin Ea,151438549,FALSE,FALSE,
HARPIN PROTEIN (F),Fungicide,HARPIN PROTEIN,Harpin Ea,151438549,FALSE,FALSE,
DIMETHENAMID-P,Herbicide,DIMETHENAMID-P,Dimethenamid-P,163515148,FALSE,FALSE,
