Type,ai,Volume.lbs,Base.Area.Treated.sum,nYears,Base.Area.perYear,Volume.perYear,source,cas.number,ConcType,Effect,LifeStage,ExposureType,Endpoint,ObservedDuration.d,ObsRespMean,ToxUnit,AgroTrakName
Fungicide,PYRACLOSTROBIN,17604513,183585664,16,11474104,1100282,EcotoxExport,175013180,Active ingredient,Behavior,Adult,Food,NOEL,10,0.8,AI ug/org/d,PYRACLOSTROBIN
Fungicide,AZOXYSTROBIN,11156757,111776100,16,6986006,697297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,PROPICONAZOLE,8178123,89661436,16,5603840,511133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,TRIFLOXYSTROBIN,4305276,51990177,16,3249386,269080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,PROTHIOCONAZOLE,1738460,36456331,12,3038028,144872,EcotoxExport,178928706,Formulation,Mortality,Adult,Food,NOEL,10,3.19,AI ug/org/d,PROTHIOCONAZOLE
Fungicide,METCONAZOLE,1724460,50160362,12,4180030,143705,EcotoxExport,125116236,Active ingredient,Behavior,Adult,Food,NOEL,10,5.43,AI ug/org/d,METCONAZOLE
Fungicide,FLUXAPYROXAD,1723409,35806871,9,3978541,191490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,CHLOROTHALONIL,1671093,1831132,16,114446,104443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,PICOXYSTROBIN,1332338,13955215,8,1744402,166542,EcotoxExport,117428225,Formulation,Mortality,Adult,Food,NOEL,10,5.15,AI ug/org/d,PICOXYSTROBIN
Fungicide,DIFENOCONAZOLE,1271103,13392874,8,1674109,158888,EcotoxExport,119446683,Formulation,Mortality,Adult,Food,NOEL,10,10.6,AI ug/org/d,DIFENOCONAZOLE
Fungicide,TEBUCONAZOLE,1139882,9685592,16,605350,71243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,THIOPHANATE-METHYL,1063704,2317236,14,165517,75979,EcotoxExport,23564058,Active ingredient,Behavior,Adult,Food,NOEL,10,6.5,AI ug/org/d,THIOPHANATE-METHYL
Fungicide,SULFUR,1055828,182300,6,30383,175971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,TETRACONAZOLE,567523,9059628,16,566227,35470,EcotoxExport,112281773,Active ingredient,Behavior,Adult,Food,NOEL,10,0.21,AI ug/org/d,TETRACONAZOLE
Fungicide,BENZOVINDIFLUPYR,489213,18716212,5,3743242,97843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,FLUTRIAFOL,414480,5866079,14,419006,29606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,FLUOXASTROBIN,371456,6405390,11,582308,33769,EcotoxExport,361377299,Formulation,Behavior,Adult,Food,NOEL,10,12.4,AI ug/org/d,FLUOXASTROBIN
Fungicide,CYPROCONAZOLE,368896,11591310,12,965942,30741,EcotoxExport,94361065,Active ingredient,Behavior,Adult,Food,NOEL,10,0.42,AI ug/org/d,CYPROCONAZOLE
Fungicide,PHOSPHORIC ACID,358329,368801,8,46100,44791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,PYDIFLUMETOFEN,271865,3940769,2,1970384,135932,EcotoxExport,1228284647,Formulation,Mortality,Adult,Food,NOEL,10,141,AI ug/org/d,PYDIFLUMETOFEN
Fungicide,MEFENTRIFLUCONAZOLE,167116,1814301,2,907150,83558,EcotoxExport,1417782036,Active ingredient,Mortality,Adult,Food,NOEL,10,110.5,AI ug/org/d,MEFENTRIFLUCONAZOLE
Fungicide,COPPER SULFATE,156678,52226,2,26113,78339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,PETROLEUM OIL,107601,16554,1,16554,107601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,BOSCALID,106757,350558,6,58426,17793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,MANCOZEB,84443,73934,5,14787,16889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,FLUSILAZOLE,37111,434074,2,217037,18556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,BIXAFEN,33183,585370,2,292685,16592,EcotoxExport,581809463,Active ingredient,Mortality,Adult,Food,NOEL,10,8.26,AI ug/org/d,BIXAFEN
Fungicide,BACILLUS AMYLOLIQUEFACIEN,26338,11868,3,3956,8779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,FLUAZINAM,23892,48052,4,12013,5973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,COPPER HYDROXIDE,18951,106661,3,35554,6317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,CALCIUM POLYSULFIDE,16489,11820,1,11820,16489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungicide,MYCLOBUTANIL,8772,103716,4,25929,2193,EcotoxExport,88671890,Active ingredient,Behavior,Adult,Food,NOEL,10,0.8119,AI ug/org/d,MYCLOBUTANIL
