cas.number,ConcType,Effect,LifeStage,ExposureType,Endpoint,ObservedDuration.d,ObsRespMean,ToxUnit
50293,Formulation,Mortality,Adult,Dermal,LD50,2,5.95,ug/bee
50293,Formulation,Mortality,Adult,Dermal,LD50,2,7.12,ug/bee
50293,Formulation,Mortality,Adult,Dermal,LD50,2,5.36,ug/bee
51036,Active ingredient,Mortality,Adult,Dermal,LD50,2,11,AI ug/org
52686,Formulation,Mortality,Adult,Dermal,LD50,2,59.83,ug/bee
52857,Formulation,Mortality,Adult,Dermal,LD50,2,0.417,ug/bee
54115,Formulation,Mortality,Adult,Dermal,LD50,2,8.7,ug/bee
55389,Formulation,Mortality,Adult,Dermal,LD50,2,0.308,ug/bee
56382,Formulation,Mortality,Adult,Dermal,LD50,2,0.175,ug/bee
57749,Formulation,Mortality,Adult,Dermal,LD50,2,5.23,ug/bee
57749,Formulation,Mortality,Adult,Dermal,LD50,2,3.14,ug/bee
57749,Formulation,Mortality,Adult,Dermal,LD50,2,8.8,ug/bee
58899,Formulation,Mortality,Adult,Dermal,LD50,2,0.562,ug/bee
60515,Formulation,Mortality,Adult,Dermal,LD50,2,0.188,ug/bee
60571,Formulation,Mortality,Adult,Dermal,LD50,2,0.139,ug/bee
61314,Active ingredient,Mortality,Adult,Food,LD50,2,127,AI ug/org
61314,Active ingredient,Mortality,Adult,Dermal,LD50,2,96.7,AI ug/org
61825,Formulation,Mortality,Adult,Dermal,LD50,2,12.09,ug/bee
61825,Formulation,Mortality,Adult,Dermal,LD50,3,200,AI ug/org
61825,Formulation,Mortality,Adult,Food,LD50,3,200,AI ug/org
61825,Formulation,Mortality,Adult,Food,NOEL,3,100,AI ug/org
61825,Formulation,Mortality,Adult,Dermal,NOEL,3,200,AI ug/org
62737,Formulation,Mortality,Adult,Dermal,LD50,2,0.495,ug/bee
63252,Formulation,Mortality,Adult,Dermal,LD50,2,1.34,ug/bee
63252,Formulation,Mortality,Adult,Dermal,LD50,2,1.88,ug/bee
63252,Active ingredient,Mortality,Adult,Food,LD50,2,46,AI ug/org
63252,Formulation,Mortality,Adult,Dermal,LD50,2,1.02,ug/bee
63252,Formulation,Mortality,Adult,Dermal,LD50,2,1.34,ug/bee
63252,Active ingredient,Mortality,Adult,Food,NOEL,2,46,AI ug/org
65850,Active ingredient,Mortality,Adult,Dermal,LD50,2,12.5,AI ug/org
66819,Formulation,Mortality,Adult,Dermal,LD50,2,241.72,ug/bee
72208,Formulation,Mortality,Adult,Dermal,LD50,2,2.02,ug/bee
72435,Formulation,Mortality,Adult,Dermal,LD50,2,23.57,ug/bee
72548,Formulation,Mortality,Adult,Dermal,LD50,2,161,ug/bee
72560,Formulation,Mortality,Adult,Dermal,LD50,2,4.47,ug/bee
75605,Formulation,Mortality,Adult,Dermal,LD50,2,157.12,ug/bee
75990,Formulation,Mortality,Adult,Dermal,LD50,2,24.17,ug/bee
76062,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
76062,Active ingredient,Mortality,Adult,Dermal,NOEL,2,50,AI ug/org
76448,Formulation,Mortality,Adult,Dermal,LD50,2,0.526,ug/bee
76879,Formulation,Mortality,Adult,Dermal,LD50,2,114.82,ug/bee
78342,Formulation,Mortality,Adult,Dermal,LD50,2,21.27,ug/bee
78579,Formulation,Mortality,Adult,Dermal,LD50,2,11.06,ug/bee
82688,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
82688,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
83794,Formulation,Mortality,Adult,Dermal,LD50,2,2.42,ug/bee
86500,Formulation,Mortality,Adult,Dermal,LD50,2,0.423,ug/bee
86873,Active ingredient,Mortality,Larva,Food,LD50,8,25,AI ug/org/d
86873,Active ingredient,Mortality,Larva,Food,NOEL,8,25,AI ug/org/d
86873,Active ingredient,Development,Larva,Food,NOEL,22,25,AI ug/org/d
86873,Active ingredient,Mortality,Larva,Food,NOEL,15,25,AI ug/org/d
86873,Active ingredient,Growth,Larva,Food,NOEL,22,25,AI ug/org/d
87865,Formulation,Mortality,Adult,Dermal,LD50,2,48.34,ug/bee
88857,Formulation,Mortality,Adult,Dermal,LD50,2,36.26,AI ug/org
93652,Formulation,Mortality,Adult,Dermal,LD50,2,18.13,ug/bee
93721,Formulation,Mortality,Adult,Dermal,LD50,2,241.72,ug/bee
93754,Formulation,Mortality,Adult,Dermal,LD50,2,121,AI ug/org
94746,Active ingredient,Mortality,Adult,Food,LD50,2,194,AI ug/org
94746,Active ingredient,Mortality,Adult,Dermal,LD50,2,194,AI ug/org
94746,Active ingredient,Mortality,Larva,Food,LD50,3,34.6,AI ug/org
94746,Active ingredient,Mortality,Larva,Food,LD50,8,93.9,AI ug/org/d
94746,Formulation,Mortality,Adult,Dermal,LD50,2,24.17,ug/bee
94746,Active ingredient,Development,Larva,Food,NOEL,22,5.64,AI ug/org/d
94746,Active ingredient,Growth,Larva,Food,NOEL,22,46.2,AI ug/org/d
94746,Active ingredient,Mortality,Larva,Food,NOEL,15,11.6,AI ug/org/d
94746,Active ingredient,Mortality,Larva,Food,NOEL,8,11.6,AI ug/org/d
94757,Active ingredient,Mortality,Larva,Food,LD50,8,6,AI ug/org/d
94757,Formulation,Mortality,Adult,Dermal,LD50,2,18.13,ug/bee
94757,Active ingredient,Development,Larva,Food,NOEL,22,3.25,AI ug/org/d
94757,Active ingredient,Growth,Larva,Food,NOEL,22,3.25,AI ug/org/d
94757,Active ingredient,Mortality,Larva,Food,NOEL,22,3.25,AI ug/org/d
94757,Active ingredient,Mortality,Larva,Food,NOEL,15,3.25,AI ug/org/d
94757,Active ingredient,Mortality,Larva,Food,NOEL,8,6.5,AI ug/org/d
98011,Active ingredient,Mortality,Adult,Food,LD50,4,100,AI ug/org
98011,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
98011,Active ingredient,Mortality,Adult,Dermal,NOEL,2,100,AI ug/org
98500,Active ingredient,Mortality,Adult,Dermal,LD50,2,100,AI ug/org
98500,Active ingredient,Mortality,Adult,Dermal,LD50,4,100,AI ug/org
98500,Active ingredient,Mortality,Adult,Dermal,NOEL,2,100,AI ug/org
99309,Formulation,Mortality,Adult,Dermal,LD50,2,181.29,ug/bee
101213,Formulation,Mortality,Adult,Dermal,LD50,2,36.26,ug/bee
107493,Formulation,Mortality,Adult,Dermal,LD50,2,0.001,ug/bee
112050,Active ingredient,Mortality,Adult,Dermal,LD50,2,25,AI ug/org
114261,Formulation,Mortality,Adult,Dermal,LD50,2,1.35,ug/bee
115297,Formulation,Mortality,Adult,Dermal,LD50,2,7.81,ug/bee
115297,Formulation,Mortality,Adult,Dermal,LD50,2,16.14,AI ug/org
115322,Formulation,Mortality,Adult,Dermal,LD50,2,145,ug/bee
115902,Formulation,Mortality,Adult,Dermal,LD50,2,0.35,ug/bee
116063,Formulation,Mortality,Adult,Dermal,LD50,2,0.285,ug/bee
117806,Formulation,Mortality,Adult,Dermal,LD50,2,7.25,ug/bee
119380,Formulation,Mortality,Adult,Dermal,LD50,2,0.471,ug/bee
119642,Formulation,Mortality,Adult,Dermal,LD50,2,0.336,ug/bee
121755,Active ingredient,Mortality,Adult,Food,LD50,4,1.66,AI ug/org
121755,Active ingredient,Mortality,Adult,Food,LD50,2,1.66,AI ug/org
121755,Formulation,Mortality,Adult,Dermal,LD50,4,0.19,AI ug/org
121755,Formulation,Mortality,Adult,Dermal,LD50,2,0.709,ug/bee
121755,Formulation,Mortality,Adult,Food,LD50,4,0.4,AI ug/org
121755,Active ingredient,Mortality,Adult,Dermal,LD50,4,0.156,AI ug/org
122101,Formulation,Mortality,Adult,Dermal,LD50,2,0.743,ug/bee
122145,Formulation,Mortality,Adult,Dermal,LD50,2,0.383,ug/bee
122349,Formulation,Mortality,Adult,Dermal,LD50,2,96.69,ug/bee
122429,Formulation,Mortality,Adult,Dermal,LD50,2,604,AI ug/org
123331,Formulation,Mortality,Adult,Dermal,LD50,2,36.26,ug/bee
126750,Formulation,Mortality,Adult,Dermal,LD50,2,1.49,ug/bee
131895,Formulation,Mortality,Adult,Dermal,LD50,2,2175,AI ug/org
132672,Formulation,Mortality,Adult,Dermal,LD50,2,113.2,ug/bee
133062,Active ingredient,Mortality,Adult,Food,LD50,3,107,AI ug/org
133062,Active ingredient,Mortality,Larva,Food,LD50,7,6,AI ug/org/d
133062,Formulation,Mortality,Adult,Dermal,LD50,2,215,ug/bee
133073,Formulation,Mortality,Adult,Dermal,LD50,2,12.09,ug/bee
134203,Active ingredient,Mortality,Adult,Dermal,LD50,2,25,AI ug/org
137268,Formulation,Mortality,Adult,Dermal,LD50,2,73.72,ug/bee
137304,Formulation,Mortality,Adult,Dermal,LD50,2,46.65,ug/bee
137304,Active ingredient,Mortality,Adult,Dermal,LD50,2,98.5,AI ug/org
139402,Formulation,Mortality,Adult,Dermal,LD50,2,96.69,ug/bee
141662,Formulation,Mortality,Adult,Dermal,LD50,2,0.3,ug/bee
142596,Formulation,Mortality,Adult,Dermal,LD50,2,12.09,ug/bee
143500,Formulation,Mortality,Adult,Dermal,LD50,2,10.39,ug/bee
144218,Formulation,Mortality,Adult,Dermal,LD50,2,20.7,AI ug/org
144218,Formulation,Mortality,Adult,Dermal,NOEL,2,20.7,AI ug/org
148798,Active ingredient,Mortality,Adult,Food,LD50,2,4,AI ug/org
148798,Active ingredient,Mortality,Adult,Dermal,LD50,2,34,AI ug/org
148798,Active ingredient,Mortality,Larva,Food,LD50,3,7.26,AI ug/org
148798,Active ingredient,Mortality,Larva,Food,LD50,8,0.98,AI ug/org/d
148798,Active ingredient,Development,Larva,Food,NOEL,22,0.98,AI ug/org/d
148798,Active ingredient,Behavior,Adult,Food,NOEL,10,0.148,AI ug/org/d
148798,Active ingredient,Mortality,Larva,Food,NOEL,8,0.98,AI ug/org/d
148798,Active ingredient,Mortality,Adult,Food,NOEL,2,4,AI ug/org
148798,Active ingredient,Mortality,Adult,Dermal,NOEL,2,34,AI ug/org
