Commodity,Year,USDA.planted,USDA.harvested
CORN,1998,80165000,72589000
CORN,1999,77386000,70487000
CORN,2000,79551000,72440000
CORN,2001,75702000,68768000
CORN,2002,78894000,69330000
CORN,2003,78603000,70944000
CORN,2004,80929000,73631000
CORN,2005,81779000,75117000
CORN,2006,78327000,70638000
CORN,2007,93527000,86520000
CORN,2008,85982000,78570000
CORN,2009,86382000,79490000
CORN,2010,88192000,81446000
CORN,2011,91936000,83879000
CORN,2012,97291000,87365000
CORN,2013,95365000,87461000
CORN,2014,90597000,83146000
CORN,2015,88019000,80753000
CORN,2016,94004000,86748000
CORN,2017,90167000,82733000
CORN,2018,88871000,81276000
CORN,2019,89745000,81337000
CORN,2020,90652000,82313000
CORN,2021,93252000,85318000
SOYBEANS,1998,72025000,70441000
SOYBEANS,1999,73730000,72446000
SOYBEANS,2000,74266000,72408000
SOYBEANS,2001,74075000,72975000
SOYBEANS,2002,73963000,72497000
SOYBEANS,2003,73404000,72476000
SOYBEANS,2004,75208000,73958000
SOYBEANS,2005,72032000,71251000
SOYBEANS,2006,75522000,74602000
SOYBEANS,2007,64741000,64146000
SOYBEANS,2008,75718000,74681000
SOYBEANS,2009,77451000,76372000
SOYBEANS,2010,77404000,76610000
SOYBEANS,2011,75046000,73776000
SOYBEANS,2012,77198000,76144000
SOYBEANS,2013,76820000,76233000
SOYBEANS,2014,83296000,82611000
SOYBEANS,2015,82660000,81742000
SOYBEANS,2016,83453000,82706000
SOYBEANS,2017,90162000,89542000
SOYBEANS,2018,89167000,87594000
SOYBEANS,2019,76100000,74939000
SOYBEANS,2020,83354000,82603000
SOYBEANS,2021,87195000,86312000
