AgroTrakName,Type,ai,CompTox.PREFERRED_NAME,cas.number,cas.number %in% ecotox.casList,inEcoTox
"2,4-D (H)",Herbicide,"2,4-D","2,4-Dichlorophenoxyacetic acid",94757,TRUE,TRUE
"2,4-DB (H)",Herbicide,"2,4-DB","2,4-Dichlorophenoxybutyric acid",94826,FALSE,FALSE
ACETOCHLOR,Herbicide,ACETOCHLOR,Acetochlor,34256821,TRUE,TRUE
ALACHLOR,Herbicide,ALACHLOR,Alachlor,15972608,TRUE,TRUE
AMETRYN,Herbicide,AMETRYN,Ametryn,834128,TRUE,TRUE
ATRAZINE,Herbicide,ATRAZINE,Atrazine,1912249,TRUE,TRUE
BENTAZONE,Herbicide,BENTAZONE,Bentazone,25057890,FALSE,FALSE
BROMOXYNIL,Herbicide,BROMOXYNIL,Bromoxynil,1689845,TRUE,TRUE
BUTYLATE,Herbicide,BUTYLATE,Butylate,2008415,TRUE,TRUE
CLOPYRALID,Herbicide,CLOPYRALID,Clopyralid,1702176,TRUE,TRUE
CYANAZINE,Herbicide,CYANAZINE,Cyanazine,21725462,FALSE,FALSE
DICAMBA,Herbicide,DICAMBA,Dicamba,1918009,TRUE,TRUE
DIMETHENAMID,Herbicide,DIMETHENAMID,Dimethenamid,87674688,TRUE,TRUE
DIMETHYLARSINIC ACID (H),Herbicide,DIMETHYLARSINIC ACID,Dimethylarsinic acid,75605,TRUE,TRUE
DIURON (H),Herbicide,DIURON,Diuron,330541,TRUE,TRUE
EPTC,Herbicide,EPTC,EPTC,759944,TRUE,TRUE
FLUFENACET,Herbicide,FLUFENACET,Flufenacet,142459583,TRUE,TRUE
FLUMETSULAM,Herbicide,FLUMETSULAM,Flumetsulam,98967409,TRUE,TRUE
FLUMICLORAC (H),Herbicide,FLUMICLORAC,"[2-Chloro-5-(1,3-dioxo-1,3,4,5,6,7-hexahydroisoindol-2-yl)-4-fluorophenoxy]acetic acid",87547044,FALSE,FALSE
GLUFOSINATE (H),Herbicide,GLUFOSINATE,Glufosinate,51276472,FALSE,FALSE
GLYPHOSATE (H),Herbicide,GLYPHOSATE,Glyphosate,1071836,TRUE,TRUE
HALOSULFURON,Herbicide,HALOSULFURON,Halosulfuron,135397307,FALSE,FALSE
IMAZAPYR,Herbicide,IMAZAPYR,Imazapyr,81334341,FALSE,FALSE
IMAZETHAPYR,Herbicide,IMAZETHAPYR,Imazethapyr,81335775,TRUE,TRUE
ISOXAFLUTOLE,Herbicide,ISOXAFLUTOLE,Isoxaflutole,141112290,FALSE,FALSE
LINURON,Herbicide,LINURON,Linuron,330552,TRUE,TRUE
METOLACHLOR,Herbicide,METOLACHLOR,Metolachlor,51218452,TRUE,TRUE
METOLACHLOR-S,Herbicide,METOLACHLOR-S,S-Metolachlor,87392129,TRUE,TRUE
METRIBUZIN,Herbicide,METRIBUZIN,Metribuzin,21087649,FALSE,FALSE
NICOSULFURON,Herbicide,NICOSULFURON,Nicosulfuron,111991094,TRUE,TRUE
OXYFLUORFEN,Herbicide,OXYFLUORFEN,Oxyfluorfen,42874033,TRUE,TRUE
PARAQUAT (H),Herbicide,PARAQUAT,Paraquat,4685147,TRUE,TRUE
PENDIMETHALIN,Herbicide,PENDIMETHALIN,Pendimethalin,40487421,TRUE,TRUE
PRIMISULFURON,Herbicide,PRIMISULFURON,"2-[4,6-Bis(difluoromethoxy)pyrimidin-2-ylcarbamoylsulfamoyl]benzoic acid",113036876,FALSE,FALSE
PROPACHLOR,Herbicide,PROPACHLOR,Propachlor,1918167,TRUE,TRUE
PROSULFURON,Herbicide,PROSULFURON,Prosulfuron,94125345,TRUE,TRUE
PYRIDATE,Herbicide,PYRIDATE,Pyridate,55512339,TRUE,TRUE
RIMSULFURON,Herbicide,RIMSULFURON,Rimsulfuron,122931480,TRUE,TRUE
SETHOXYDIM,Herbicide,SETHOXYDIM,Sethoxydim,74051802,TRUE,TRUE
SIMAZINE,Herbicide,SIMAZINE,Simazine,122349,TRUE,TRUE
SULFOSATE,Herbicide,SULFOSATE,Glyphosate-trimesium,81591813,FALSE,FALSE
THIFENSULFURON,Herbicide,THIFENSULFURON,Thifensulfuron,79277671,FALSE,FALSE
TRIFLURALIN,Herbicide,TRIFLURALIN,Trifluralin,1582098,TRUE,TRUE
ACEPHATE,Insecticide,ACEPHATE,Acephate,30560191,TRUE,TRUE
BACILLUS THURINGIENSIS,Insecticide,BACILLUS THURINGIENSIS,Bacillus thuringiensis,68038711,FALSE,FALSE
BIFENTHRIN,Insecticide,BIFENTHRIN,Bifenthrin,82657043,FALSE,FALSE
CARBARYL (I),Insecticide,CARBARYL,"1-Naphthalenol, 1-(N-methylcarbamate)",63252,TRUE,TRUE
CARBOFURAN (I),Insecticide,CARBOFURAN,Carbofuran,1563662,TRUE,TRUE
CHLORETHOXYFOS,Insecticide,CHLORETHOXYFOS,Chlorethoxyfos,54593838,TRUE,TRUE
CHLORPYRIFOS,Insecticide,CHLORPYRIFOS,Chlorpyrifos,2921882,TRUE,TRUE
CYFLUTHRIN,Insecticide,CYFLUTHRIN,Cyfluthrin,68359375,FALSE,FALSE
CYHALOTHRIN-LAMBDA,Insecticide,CYHALOTHRIN-LAMBDA,lambda-Cyhalothrin,91465086,TRUE,TRUE
CYPERMETHRIN,Insecticide,CYPERMETHRIN,Cypermethrin,52315078,TRUE,TRUE
DIAZINON,Insecticide,DIAZINON,Diazinon,333415,TRUE,TRUE
DIMETHOATE,Insecticide,DIMETHOATE,Dimethoate,60515,TRUE,TRUE
DISULFOTON,Insecticide,DISULFOTON,Disulfoton,298044,TRUE,TRUE
ESFENVALERATE,Insecticide,ESFENVALERATE,Esfenvalerate,66230044,TRUE,TRUE
ETHOPROPHOS (I),Insecticide,ETHOPROPHOS,Ethoprop,13194484,TRUE,TRUE
FENBUTATIN OXIDE,Insecticide,FENBUTATIN OXIDE,Fenbutatin oxide,13356086,TRUE,TRUE
FIPRONIL,Insecticide,FIPRONIL,Fipronil,120068373,TRUE,TRUE
FONOFOS,Insecticide,FONOFOS,Fonofos,944229,FALSE,FALSE
MALATHION,Insecticide,MALATHION,Malathion,121755,TRUE,TRUE
METHOMYL,Insecticide,METHOMYL,Methomyl,16752775,TRUE,TRUE
METHYL PARATHION,Insecticide,METHYL PARATHION,Methyl parathion,298000,TRUE,TRUE
PERMETHRIN,Insecticide,PERMETHRIN,Permethrin,52645531,TRUE,TRUE
PHORATE,Insecticide,PHORATE,Phorate,298022,TRUE,TRUE
PROPARGITE,Insecticide,PROPARGITE,Propargite,2312358,TRUE,TRUE
TEBUPIRIMPHOS,Insecticide,TEBUPIRIMPHOS,Tebupirimfos,96182535,FALSE,FALSE
TEFLUTHRIN,Insecticide,TEFLUTHRIN,Tefluthrin,79538322,TRUE,TRUE
TERBUFOS (I),Insecticide,TERBUFOS,Terbufos,13071799,TRUE,TRUE
ACIFLUORFEN,Herbicide,ACIFLUORFEN,Acifluorfen,50594666,FALSE,FALSE
CHLORIMURON,Herbicide,CHLORIMURON,Chlorimuron,99283008,FALSE,FALSE
CLETHODIM,Herbicide,CLETHODIM,Clethodim,99129212,FALSE,FALSE
CLOMAZONE,Herbicide,CLOMAZONE,Clomazone,81777891,TRUE,TRUE
CLORANSULAM-METHYL,Herbicide,CLORANSULAM-METHYL,Cloransulam-methyl,147150354,TRUE,TRUE
ETHALFLURALIN,Herbicide,ETHALFLURALIN,Ethalfluralin,55283686,TRUE,TRUE
